time,"I(IIN)","I(IXIN)","I(LOUT)"
4.100000e-11,-2.000000e-05,1.500000e-03,2.009282e-05
4.125000e-11,-2.000000e-05,1.500000e-03,1.975061e-05
4.150000e-11,-2.000000e-05,1.500000e-03,1.946305e-05
4.175000e-11,-2.000000e-05,1.500000e-03,1.928722e-05
4.200000e-11,-2.000000e-05,1.500000e-03,1.925422e-05
4.225000e-11,-2.000000e-05,1.500000e-03,1.936466e-05
4.250000e-11,-2.000000e-05,1.500000e-03,1.958970e-05
4.275000e-11,-2.000000e-05,1.500000e-03,1.987757e-05
4.300000e-11,-2.000000e-05,1.500000e-03,2.016463e-05
4.325000e-11,-2.000000e-05,1.500000e-03,2.038929e-05
4.350000e-11,-2.000000e-05,1.500000e-03,2.050573e-05
4.375000e-11,-2.000000e-05,1.500000e-03,2.049381e-05
4.400000e-11,-2.000000e-05,1.500000e-03,2.036250e-05
4.425000e-11,-2.000000e-05,1.500000e-03,2.014626e-05
4.450000e-11,-2.000000e-05,1.500000e-03,1.989573e-05
4.475000e-11,-2.000000e-05,1.500000e-03,1.966571e-05
4.500000e-11,-2.000000e-05,1.500000e-03,1.950343e-05
4.525000e-11,-2.000000e-05,1.500000e-03,1.943951e-05
4.550000e-11,-2.000000e-05,1.500000e-03,1.948281e-05
4.575000e-11,-2.000000e-05,1.500000e-03,1.961967e-05
4.600000e-11,-2.000000e-05,1.500000e-03,1.981744e-05
4.625000e-11,-2.000000e-05,1.500000e-03,2.003170e-05
4.650000e-11,-2.000000e-05,1.500000e-03,2.021601e-05
4.675000e-11,-2.000000e-05,1.500000e-03,2.033208e-05
4.700000e-11,-2.000000e-05,1.500000e-03,2.035804e-05
4.725000e-11,-2.000000e-05,1.500000e-03,2.029264e-05
4.750000e-11,-2.000000e-05,1.500000e-03,2.015450e-05
4.775000e-11,-2.000000e-05,1.500000e-03,1.997685e-05
4.800000e-11,-2.000000e-05,1.500000e-03,1.979943e-05
4.825000e-11,-2.000000e-05,1.500000e-03,1.965967e-05
4.850000e-11,-2.000000e-05,1.500000e-03,1.958509e-05
4.875000e-11,-2.000000e-05,1.500000e-03,1.958830e-05
4.900000e-11,-2.000000e-05,1.500000e-03,1.966517e-05
4.925000e-11,-2.000000e-05,1.500000e-03,1.979632e-05
4.950000e-11,-2.000000e-05,1.500000e-03,1.995169e-05
4.975000e-11,-2.000000e-05,1.500000e-03,2.009718e-05
5.000000e-11,-2.000000e-05,1.500000e-03,2.020209e-05
5.025000e-11,-2.000000e-05,1.500000e-03,2.024576e-05
5.050000e-11,-2.000000e-05,1.500000e-03,2.022171e-05
5.075000e-11,-2.000000e-05,1.500000e-03,2.013839e-05
5.100000e-11,-2.000000e-05,1.500000e-03,2.001655e-05
5.125000e-11,-2.000000e-05,1.500000e-03,1.988402e-05
5.150000e-11,-2.000000e-05,1.500000e-03,1.976941e-05
5.175000e-11,-2.000000e-05,1.500000e-03,1.969602e-05
5.200000e-11,-2.000000e-05,1.500000e-03,1.967735e-05
5.225000e-11,-2.000000e-05,1.500000e-03,1.971485e-05
5.250000e-11,-2.000000e-05,1.500000e-03,1.979811e-05
5.275000e-11,-2.000000e-05,1.500000e-03,1.990751e-05
5.300000e-11,-2.000000e-05,1.500000e-03,2.001868e-05
5.325000e-11,-2.000000e-05,1.500000e-03,2.010782e-05
5.350000e-11,-2.000000e-05,1.500000e-03,2.015687e-05
5.375000e-11,-2.000000e-05,1.500000e-03,2.015719e-05
5.400000e-11,-2.000000e-05,1.500000e-03,2.011105e-05
5.425000e-11,-2.000000e-05,1.500000e-03,2.003056e-05
5.450000e-11,-2.000000e-05,1.500000e-03,1.993453e-05
5.475000e-11,-2.000000e-05,1.500000e-03,1.984411e-05
5.500000e-11,-2.000000e-05,1.500000e-03,1.977815e-05
5.525000e-11,-2.000000e-05,1.500000e-03,1.974943e-05
5.550000e-11,-2.000000e-05,1.500000e-03,1.976227e-05
5.575000e-11,-2.000000e-05,1.500000e-03,1.981210e-05
5.600000e-11,-2.000000e-05,1.500000e-03,1.988670e-05
5.625000e-11,-2.000000e-05,1.500000e-03,1.996915e-05
5.650000e-11,-2.000000e-05,1.500000e-03,2.004155e-05
5.675000e-11,-2.000000e-05,1.500000e-03,2.008891e-05
5.700000e-11,-2.000000e-05,1.500000e-03,2.010227e-05
5.725000e-11,-2.000000e-05,1.500000e-03,2.008038e-05
5.750000e-11,-2.000000e-05,1.500000e-03,2.002959e-05
5.775000e-11,-2.000000e-05,1.500000e-03,1.996212e-05
5.800000e-11,-2.000000e-05,1.500000e-03,1.989311e-05
5.825000e-11,-2.000000e-05,1.500000e-03,1.983726e-05
5.850000e-11,-2.000000e-05,1.500000e-03,1.980577e-05
5.875000e-11,-2.000000e-05,1.500000e-03,1.980416e-05
5.900000e-11,-2.000000e-05,1.500000e-03,1.983139e-05
5.925000e-11,-2.000000e-05,1.500000e-03,1.988040e-05
5.950000e-11,-2.000000e-05,1.500000e-03,1.993980e-05
5.975000e-11,-2.000000e-05,1.500000e-03,1.999651e-05
6.000000e-11,-2.000000e-05,1.500000e-03,2.003857e-05
6.025000e-11,-2.000000e-05,1.500000e-03,2.005768e-05
6.050000e-11,-2.000000e-05,1.500000e-03,2.005083e-05
6.075000e-11,-2.000000e-05,1.500000e-03,2.002073e-05
6.100000e-11,-2.000000e-05,1.500000e-03,1.997488e-05
6.125000e-11,-2.000000e-05,1.500000e-03,1.992379e-05
6.150000e-11,-2.000000e-05,1.500000e-03,1.987855e-05
6.175000e-11,-2.000000e-05,1.500000e-03,1.984848e-05
6.200000e-11,-2.000000e-05,1.500000e-03,1.983922e-05
6.225000e-11,-2.000000e-05,1.500000e-03,1.985178e-05
6.250000e-11,-2.000000e-05,1.500000e-03,1.988250e-05
6.275000e-11,-2.000000e-05,1.500000e-03,1.992403e-05
