time,"I(IIN_A)","I(IIN_B)","I(ICLK)","I(LOUT)"
1.787750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.788000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.788250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.788500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.788750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.789000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.789250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.789500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.789750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.790000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.790250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.790500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.790750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.791000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.791250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.791500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.791750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.792000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.792250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.792500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.792750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.793000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.793250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.793500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.793750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.794000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.794250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.794500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.794750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.795000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.795250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.795500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.795750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.796000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.796250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.796500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.796750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.797000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.797250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.797500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.797750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.798000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.798250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.798500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.798750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.799000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.799250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.799500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.799750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.800000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.800250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.800500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.800750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.801000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.801250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.801500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.801750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.802000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.802250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.802500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.802750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.803000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.803250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.803500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.803750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.804000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.804250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.804500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.804750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.805000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.805250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.805500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.805750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.806000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.806250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.806500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.806750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.807000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.807250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.807500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.807750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.808000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.808250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.808500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.808750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.809000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.809250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.809500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.809750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.810000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.810250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.810500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.810750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.811000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.811250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.811500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.811750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.812000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.812250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.812500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.812750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.813000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.813250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.813500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.813750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.814000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.814250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.814500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.814750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.815000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.815250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.815500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.815750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.816000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.816250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.816500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.816750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.817000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.817250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.817500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.817750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.818000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.818250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.818500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.818750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.819000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.819250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.819500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.819750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.820000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.820250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.820500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.820750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.821000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.821250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.821500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.821750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.822000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.822250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.822500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.822750e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.823000e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.823250e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
1.823500e-09,2.000000e-05,2.000000e-05,1.500000e-03,4.783401e-05
