time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(LOUT)"
1.868500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.868750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.869000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.869250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.869500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.869750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.870000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.870250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.870500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.870750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.871000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.871250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.871500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.871750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.872000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.872250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.872500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.872750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.873000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.873250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.873500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.873750e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.874000e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.874250e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
1.874500e-09,2.000000e-05,2.000000e-05,1.500000e-03,1.500000e-03,2.302004e-05
