time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(ICLK3)","I(ICLK4)","I(LOUT)"
1.550000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099958e-06
1.575000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.103973e-06
1.600000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.106574e-06
1.625000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.107040e-06
1.650000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.105394e-06
1.675000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.102333e-06
1.700000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.098954e-06
1.725000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.096364e-06
1.750000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.095329e-06
1.775000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.096056e-06
1.800000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.098171e-06
1.825000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100884e-06
1.850000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.103279e-06
1.875000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.104616e-06
1.900000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.104552e-06
1.925000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.103221e-06
1.950000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.101151e-06
1.975000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099061e-06
2.000000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.097623e-06
2.025000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.097241e-06
2.050000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.097952e-06
2.075000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099441e-06
2.100000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.101170e-06
2.125000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.102568e-06
2.150000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.103217e-06
2.175000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.102970e-06
2.200000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.101981e-06
2.225000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.100623e-06
2.250000e-11,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099359e-06
